country,capital,area,population
France,Paris,6327023,68605616
Germany,Berlin,357114,83491249
Italy,Rome,301340,58915561
Japan,Tokyo,377975,123360000
Brazil,Brasília,8515767,213421037
United States,"Washington, D.C.",3796742,340110988
China,Beijing,9596961,1408280000
India,New Delhi,3287263,1428627663
Russia,Moscow,17098246,146028325
United Kingdom,London,244376,69281437
Canada,Ottawa,9984670,41651653
Australia,Canberra,7688287,28154600
Spain,Madrid,195380,49442844
Mexico,Mexico City,1972550,131946900
